Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt)
2020-01-24 11:13,28.0N,35.8W,32,21.2,-18.6,-9,-4.7,2.60E+10,0.092
2020-01-21 20:07,33.1N,34.3E,43.3,27.4,-7.5,-23.5,-11.9,2.80E+10,0.098
2020-01-17 21:29,19.4N,66.0W,14.5,15.5,-13.2,8.1,1.2,9.70E+10,0.29
2020-01-16 9:31,71.7S,116.4W,27.8,12.9,9.8,-4.5,7,5.90E+10,0.19
2020-01-06 11:03,70.4S,17.5W,,,,,,4.50E+10,0.15
2019-12-21 14:30,56.5N,147.6W,35.5,22.2,14.9,-8.1,-14.3,6.50E+10,0.21
2019-12-11 1:19,47.7N,161.7E,37,17.8,13.7,-10.9,-3.3,3.90E+10,0.13
2019-12-06 10:19,3.3S,37.7W,19.5,,,,,4.60E+10,0.15
2019-12-03 6:46,5.6N,52.2W,61.5,,,,,4.20E+10,0.14
2019-11-28 20:30,35.7N,31.7W,35,13,-11.6,-2.5,-5.4,2.70E+10,0.095
2019-11-28 13:22,,,,,,,,2.60E+10,0.092
2019-11-28 11:55,22.1S,25.7E,22.5,24.7,-22.8,-5.5,7.6,2.50E+10,0.089
2019-11-05 11:24,10.4S,143.4W,37,28.8,6.8,13.8,24.4,1.09E+11,0.33
2019-10-22 22:21,12.0N,76.0W,40.7,,,,,2.70E+10,0.095
2019-10-10 16:16,44.3N,122.9E,47.3,14.1,1.5,-12.9,-5.4,2.06E+11,0.57
2019-09-28 10:40,12.5S,107.2W,52,20.4,-10.1,11.2,13.7,2.30E+10,0.082
2019-09-27 13:35,25.7N,28.4W,,,,,,3.40E+10,0.12
2019-09-14 12:39,38.6S,33.5W,38,15.9,-12.9,8.1,4.6,1.09E+11,0.33
2019-09-13 2:02,18.6S,126.9E,27.4,13.5,5.2,-8.1,9.5,4.20E+10,0.14
2019-09-12 12:49,54.5N,9.2E,42,18.5,-18.1,-0.4,3.7,1.69E+11,0.48
2019-09-12 2:34,24.9N,47.8W,30.6,17.2,-11.7,11.7,4.6,5.90E+10,0.19
2019-08-24 12:02,21.9N,130.4W,39.8,13.4,11.1,-5.2,5.4,4.00E+10,0.13
2019-08-22 21:47,24.4S,92.9W,30.2,,,,,2.00E+10,0.073
2019-08-16 20:36,38.9N,7.0E,36,14.9,-3.9,4,-13.8,2.50E+10,0.089
2019-07-23 20:42,44.6N,147.6W,30.6,16.1,1.5,15.1,-5.5,2.55E+11,0.69
2019-06-30 16:52,21.2N,129.5W,59,42.3,25.2,31.2,-13.3,3.20E+10,0.11
2019-06-30 8:11,2.5S,168.7E,,,,,,2.10E+10,0.076
2019-06-22 21:25,14.9N,66.2W,25,14.9,-13.4,6,2.5,2.95E+12,6
2019-06-20 6:07,7.3N,67.6W,37,,,,,2.80E+10,0.098
2019-05-26 10:07,56.6N,25.3W,24.4,17.5,3.8,-5.8,16.1,4.20E+10,0.14
2019-05-25 6:44,19.2S,89.4E,29.2,15.8,0.2,-15.7,2.1,4.90E+10,0.16
2019-05-22 15:16,10.8N,37.3W,32.6,,,,,9.50E+10,0.29
2019-05-21 13:21,38.8S,137.5E,31.5,11.5,4.4,-8.5,6.4,6.56E+11,1.6
2019-05-19 14:47,23.6S,132.8E,33.3,15.2,7.3,-12.2,5.3,3.30E+10,0.11
2019-05-12 22:41,6.2N,57.1W,,,,,,2.10E+10,0.076
2019-05-04 15:35,28.4N,88.3W,26.5,,,,,2.20E+10,0.079
2019-04-22 21:42,48.8S,67.8E,33.3,11.4,3.4,-4.2,10,1.24E+11,0.37
2019-04-14 17:54,18.3N,74.6W,30.6,15.9,-2.5,5.9,-14.6,2.90E+10,0.1
2019-04-06 11:59,56.5N,94.9E,41.5,18.1,6.2,11.1,-12.9,7.00E+10,0.22
2019-04-04 22:19,35.3N,93.9W,,,,,,2.80E+10,0.098
2019-03-27 12:50,41.8S,7.4W,,,,,,2.20E+10,0.079
2019-03-19 2:06,24.0S,140.3E,28.7,16.2,10.2,0.4,12.6,2.00E+10,0.073
2019-03-15 12:26,63.7N,95.7E,31.5,14.4,5.4,-13.2,1.7,4.60E+10,0.15
2019-02-18 10:00,15.5S,25.3E,26,20.8,-16.6,-12.6,0.6,1.96E+12,4.2
2019-02-01 18:17,22.5N,83.8W,23.7,16.3,-2.4,13.6,8.7,5.79E+11,1.4
2019-01-29 20:47,,,,,,,,2.50E+10,0.089
2019-01-22 9:18,18.0N,6.5E,42.5,11.6,-8.6,-5.9,5,3.60E+10,0.12
2018-12-23 23:38,47.5S,174.4W,31.8,16.5,9.9,7.6,10.8,8.90E+10,0.27
